NOMBREPROYEC,URL,CARRERA,FACULTAD
Desarrollo de un Programa de Televisión Piloto que Aporte a la Autoestima de los Adolescentes de la Ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/52520,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa Piloto “Desafiando Mitos“,https://dspace.espol.edu.ec/handle/123456789/54058,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Diseño de una pieza audiovisual que exponga las manifestaciones artísticas como medio de expresión emocional,https://dspace.espol.edu.ec/handle/123456789/54093,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proyecto audiovisual informativo para la realización de prácticas pre profesionales en ESPOL,https://dspace.espol.edu.ec/handle/123456789/54167,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Procesos de obtención de cacao y chocolate como gestores de agroturismo y gastroturismo en el cantón Naranjal.,https://dspace.espol.edu.ec/handle/123456789/53860,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Mundo Jurásico. Realidad virtual en el CTI.,https://dspace.espol.edu.ec/handle/123456789/54249,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proyecto audiovisual de prevención sobre drogas para estudiantes de secundaria en la ciudad de Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/54021,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un documental de carácter social que expone la incursión del estudiante de diseño gráfico al campo profesional.,https://dspace.espol.edu.ec/handle/123456789/54189,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Plan de Negocio Para la Venta de Productos con Ilustraciones y Diseños de Ecuatorianos.,https://dspace.espol.edu.ec/handle/123456789/55044,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
El Cangrejo Rojo en el manglar del golfo y las consecuencias del cambio climático en su hábitat,https://dspace.espol.edu.ec/handle/123456789/54069,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un programa piloto audiovisual de carácter deportivo dirigido a jóvenes de educación media en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53025,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video institucional de graduados de la Facultad Ciencias de la Vida.,https://dspace.espol.edu.ec/handle/123456789/54233,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Horno incinerador de desechos hospitalarios para zonas rurales con minimización de contaminantes al ambiente.,https://dspace.espol.edu.ec/handle/123456789/54247,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Plan de negocios para la creación de una empresa de cuentos audiovisuales personalizados,https://dspace.espol.edu.ec/handle/123456789/54585,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Propuesta de reingenieria de procesos operativos y administrativos en el área de talleres de un concesionarío automotriz,https://dspace.espol.edu.ec/handle/123456789/24240,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Elaboración de una cápsula audiovisual sobre las actividades extracurriculares que realizan los capítulos estudiantiles pertenecientes a la carrera de Ingeniería Civil de la ESPOL.,https://dspace.espol.edu.ec/handle/123456789/54070,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte del programa “Parejas Disparejas” de ESPOL TV,https://dspace.espol.edu.ec/handle/123456789/54312,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Dirección de arte enfocado al rediseño de la imagen del producto audiovisual ""FOCUS""",https://dspace.espol.edu.ec/handle/123456789/58602,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Metrovía un servicio de todos y para todos,https://dspace.espol.edu.ec/handle/123456789/54131,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Documental “El Vuelo del Colibrí""",https://dspace.espol.edu.ec/handle/123456789/53994,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Cortometraje de animación sobre la violencia de género.,https://dspace.espol.edu.ec/handle/123456789/54231,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video institucional de la Rama Estudiantil IEEE-ESPOL,https://dspace.espol.edu.ec/handle/123456789/53985,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
