NOMBREPROYEC,FECHA,URL,CARRERA,FACULTAD
Implementación de una aplicación web para la gestión de rutas de medición en carreras de grado posgrado en ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58204,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Integración y optimización de plataforma de comercio electrónico KIOSKU con pasarela de pago PAGANINI,2023,http://www.dspace.espol.edu.ec/handle/123456789/58203,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Implementación de un agente recepcionista utilizando un modelo de inteligencia artificial conversacional,2023,http://www.dspace.espol.edu.ec/handle/123456789/58202,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una solución multiplataforma para el registro de bienes dados de baja en la bodega pasiva de la ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58201,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Automatización de pruebas unitarias y de integración del sistema AGATA,2023,http://www.dspace.espol.edu.ec/handle/123456789/58199,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un sistema para la gestión de solicitudes de servicios hacia el SILAB de ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58198,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un módulo para la gestión de información de candidatos para la Bolsa de Empleo de la ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58197,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Automatización y mejora del sistema de gestión de presupuestos de los programas y proyectos de vinculación ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58196,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un Sistema para la Gestión de Órdenes de Distribución de Alimentos,2023,http://www.dspace.espol.edu.ec/handle/123456789/58195,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un sistema para la gestión de solicitudes del Comité de Ética en Investigación de la ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/58194,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
AmamantApp: Aplicación móvil para Promover la Donación de Leche Materna,2023,http://www.dspace.espol.edu.ec/handle/123456789/58193,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
"Segmentación autónoma de lesiones producidas por ultrasonido focalizado como tratamiento a enfermedades con desórdenes de movimiento, utilizando técnicas de inteligencia artificial",2023,http://www.dspace.espol.edu.ec/handle/123456789/58189,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Clasificación de deformidades en frutas usando modelos de aprendizaje profundo con imágenes reales y sintéticas,2023,http://www.dspace.espol.edu.ec/handle/123456789/58179,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Implementación de un módulo de etiquetado de gestos y posturas para el sistema de retroalimentación automática de presentaciones RAP,2023,http://www.dspace.espol.edu.ec/handle/123456789/58178,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Implementación de módulo de gestión de usuarios y alertas en el sistema institucional PREC,2023,http://www.dspace.espol.edu.ec/handle/123456789/57569,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Reconocimiento de trastornos en la voz a partir de audios asociados a la enfermedad de Parkinson,2022,http://www.dspace.espol.edu.ec/handle/123456789/57565,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Plataforma de microsistemas IoT enfocada a la sistematización de componentes,2022,http://www.dspace.espol.edu.ec/handle/123456789/57563,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Plataforma para la analítica de datos académicos,2022,http://www.dspace.espol.edu.ec/handle/123456789/57560,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
