NOMBREPROYEC,URL,CARRERA,FACULTAD
"Diseño de texto de contenido cultural del recinto ""La Tunas"" para niños de 6 a 8 años",https://dspace.espol.edu.ec/handle/123456789/53735,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño y diagramación de la segunda edición del Libro Idear,https://dspace.espol.edu.ec/handle/123456789/53767,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Diseño de libro ilustrado de contenido cultural de la comuna Puerto Rico, Manabí",https://dspace.espol.edu.ec/handle/123456789/53703,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Aplicación de elementos y manejo de impacto en niños del Hospital Dr. Roberto Gilbert Elizalde de la ciudad de Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/53846,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Propuesta de campaña gráfica y rediseño de la identidad visual del programa Mentoring ESPOL,https://dspace.espol.edu.ec/handle/123456789/65751,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Rediseño imagen del Campus las Peñas: Manual de imagen,https://dspace.espol.edu.ec/handle/123456789/59360,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Rediseño del Sitio Web de Autismo Ecuador para la Difusión sobre el Trastorno del Espectro Autista,https://dspace.espol.edu.ec/handle/123456789/56195,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño editorial experimental de la obra “Delirar a Deleuze”,https://dspace.espol.edu.ec/handle/123456789/53717,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de kit informativo para la construcción y mantenimiento de microemprendimientos gastronómicos,https://dspace.espol.edu.ec/handle/123456789/58421,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación de un cuento interactivo y de fomento de valores en los infantes.,https://dspace.espol.edu.ec/handle/123456789/53769,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Realización de un motion cómic sobre dos leyendas del oriente del Ecuador basado en un cómic del artista ecuatoriano Mauricio Gil,https://dspace.espol.edu.ec/handle/123456789/56279,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Branding Corporativo y manejo de Medios Digitales para la Unidad Gerencia de Infraestructura Física.,https://dspace.espol.edu.ec/handle/123456789/53866,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Campaña educativa sobre las principales normas de tránsito enfocada a estudiantes de octavo a décimo de educación básica de la ciudad de Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/53780,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de Identidad Corporativa para la empresa de telecomunicaciones Cablefuturo S.A.,https://dspace.espol.edu.ec/handle/123456789/53693,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación del sistema de identidad corporativa de la ONG “Dulce Corazón” de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/56170,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Proyecto de evaluación de una consultora de Branding e imagen corporativa para PYMES en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/21633,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Guía para una adecuada transición al entorno universitario: Interfaz didáctica dirigida a estudiantes de 3ero de bachillerato,https://dspace.espol.edu.ec/handle/123456789/60664,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Propuesta de rediseño de la identidad de marca y el sistema de comunicación visual para el zoológico Rapaz Lana en Colonche, provincia de Santa Elena",https://dspace.espol.edu.ec/handle/123456789/62767,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Imagen turística de la ruta del mar: Manual de diseño,https://dspace.espol.edu.ec/handle/123456789/59506,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Campaña gráfica como herramienta de la ESPOL para  promover la participación de mujeres en el área investigativa,https://dspace.espol.edu.ec/handle/123456789/57714,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de identidad de producto psicopedagógico.,https://dspace.espol.edu.ec/handle/123456789/53641,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
“Cocinando sin límites” Manual nutricional para diabetes,https://dspace.espol.edu.ec/handle/123456789/53763,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Propuesta de Campaña de “Apadrinamiento de Adultos Mayores para el Hogar del Corazón de Jesús”,https://dspace.espol.edu.ec/handle/123456789/54104,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Diseño de interfaz e-commerce para Toxicute, marca local disruptiva",https://dspace.espol.edu.ec/handle/123456789/65752,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Primera campaña informativa de los servicios de SERLI en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/54634,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de infografías digitales sobre técnicas agrícolas del cacao  para agricultores en territorio ecuatoriano,https://dspace.espol.edu.ec/handle/123456789/56175,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de una campaña publicitaria de sensibilización respecto al trato ético hacia animales de compañía en la ciudad de Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/56277,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de sistema de orientación y guía turística bilingüe sobre la ruta de las iglesias patrimoniales del centro de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/58422,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de cuento infantil sobre el cambio climático,https://dspace.espol.edu.ec/handle/123456789/60654,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de Sistema Señalético para el Centro Cultural Municipal Bernardo Valdivieso de la ciudad de Loja.,https://dspace.espol.edu.ec/handle/123456789/56286,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación de identidad visual para la página web informativa de la aplicación móvil Fudi dirigida a restaurantes MIPYMES en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/56196,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Animación de caracteres. Manual de diseño.,https://dspace.espol.edu.ec/handle/123456789/57861,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Rediseño de imagen corporativa del Grupo de teatro ESPOL “José Martínez Queirolo” de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/54633,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Revista conexión PROTCOM: Manual de diseño,https://dspace.espol.edu.ec/handle/123456789/59416,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Tipografía Experimental inspirada en la cultura Milagro - Quevedo.,https://dspace.espol.edu.ec/handle/123456789/54098,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Diseño de interfaz web y aplicación para el Museo Real Alto de Santa Elena, ESPOL.",https://dspace.espol.edu.ec/handle/123456789/60653,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Reestructuración de Identidad Corporativa de la Sociedad Ecuatoriana de Biotecnología (SEBIOCA).,https://dspace.espol.edu.ec/handle/123456789/53863,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de material didáctico basado en técnicas Tradicionales de tejido de paja toquilla para apoyo al desarrollo de la motricidad fina de niños en 1er y 2do grado,https://dspace.espol.edu.ec/handle/123456789/56197,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación de un prototipo de libro guía nivel cero para EDCOM-ESPOL,https://dspace.espol.edu.ec/handle/123456789/54306,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Propuesta Visual para el Salón de Eventos de EDCOM,https://dspace.espol.edu.ec/handle/123456789/53746,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de sistema de orientación transeúnte aplicado al centro de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/57716,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Un Buen Politécnico - Campaña de Concienciación sobre la buena Ortografía en EDCOM,https://dspace.espol.edu.ec/handle/123456789/53796,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Revalorizando el trabajo del Muralista Guayaquileño Jorge Swett.,https://dspace.espol.edu.ec/handle/123456789/53793,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de un Catálogo Digital y Rediseño de la marca Subliest,https://dspace.espol.edu.ec/handle/123456789/65764,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Estudio sobre la evolución tecnológica y comercial de la cinematografía por medio de un piloto,https://dspace.espol.edu.ec/handle/123456789/10466,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
,https://dspace.espol.edu.ec/handle/123456789/65758,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
